date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:39	16854/16854	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7331E265D%22	https://mm-gold.azureedge.net/evolution/QA/evolution_sex.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_sex.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:39	48362/48362	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D731587F58%22	https://mm-gold.azureedge.net/evolution/QA/evolution_homosexuality.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_homosexuality.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:39	33919/33919	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D731B7B6E0%22	https://mm-gold.azureedge.net/evolution/QA/evolution_morality.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_morality.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:40	35586/35586	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7304E39FB%22	https://mm-gold.azureedge.net/evolution/QA/biborton_maramari.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/biborton_maramari.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:40	27627/27627	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D738548E66%22	https://mm-gold.azureedge.net/evolution/QA/social_darwinism.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/social_darwinism.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:40	15948/15948	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D730883608%22	https://mm-gold.azureedge.net/evolution/QA/eugenics.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/eugenics.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:40	24555/24555	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D736357C5A%22	https://mm-gold.azureedge.net/evolution/QA/incest.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/incest.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:41	22928/22928	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D732504E15%22	https://mm-gold.azureedge.net/evolution/QA/evolution_pastur.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_pastur.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:41	25209/25209	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D72FDF7220%22	https://mm-gold.azureedge.net/evolution/QA/abiogenesis_statistics.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/abiogenesis_statistics.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:41	21499/21499	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D731978470%22	https://mm-gold.azureedge.net/evolution/QA/evolution_joro.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_joro.html	(from https://mm-gold.azureedge.net/evolution/index.html)
